Country,State,Locality,Latitude,Longitude,Species,Nota
Mexico,Aguascalientes,Aguascalientes,21.884878,-102.280676,Enallagma civile,
Mexico,Aguascalientes,Aguascalientes,21.884878,-102.280676,Enallagma praevarum,
Mexico,Aguascalientes,Aguascalientes,21.884878,-102.280676,Telebasis salva,
Mexico,Aguascalientes,Aguascalientes,21.884878,-102.280676,Rhionaeschna cornigera,
Mexico,Aguascalientes,Aguascalientes,21.884878,-102.280676,Rhionaeschna multicolor,
Mexico,Aguascalientes,Aguascalientes,21.884878,-102.280676,Orthemis ferruginea,
Mexico,Aguascalientes,Aguascalientes,21.884878,-102.280676,Sympetrum corruptum,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Aphylla protracta,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Aeshna viridis,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Coryphaeschna adnexa,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Libellula auripennis,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Pseudoleon superbus,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Anax longipes,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Micrathyria didyma,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Micrathyria aequalis,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Micrathyria debilis,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Orthemis ferruginea,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Erythrodiplax umbrata,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Erythrodiplax fervida,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Erythrodiplax berenice,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Dythemis velox,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Miathyria marcella,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Miathyria simplex,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Tramea onusta,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Perithemis tenera,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Brachymesia furcata,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Brachymesia herbida,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Planiplax sanguiniventris,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Erythemis collocata,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Erythemis peruviana,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Erythemis mithroides,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Erythemis plebeja,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Erythemis vesiculosa,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Lestes sigma,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Lestes forficula,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Enallagma civile,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Telebasis filiola,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Ischnura ramburii,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Ischnura hastata,
Mexico,Tamaulipas,Altamira,22.407746,-97.921155,Erythemis collocata,
Mexico,Nayarit,Amatlan,20.807672,-104.404054,Orthemis ferruginea,
Mexico,Mexico,Amecameca ,19.125236,-98.767113,Libellula nodisticta,
Mexico,Mexico,Amecameca ,19.125236,-98.767113,Sympetrum illotum,
Mexico,Guerrero,Amula,17.555068,-99.368664,Archilestes grandis,
Mexico,Guerrero,Amula,17.555068,-99.368664,Lestes simplex,
Mexico,Guerrero,Amula,17.555068,-99.368664,Argia oculata,
Mexico,Guerrero,Amula,17.555068,-99.368664,Argia herberti,
Mexico,Guerrero,Amula,17.555068,-99.368664,Argia extranea,
Mexico,Guerrero,Amula,17.555068,-99.368664,Argia pallens,
Mexico,Guerrero,Amula,17.555068,-99.368664,Enallagma praevarum,
Mexico,Guerrero,Amula,17.555068,-99.368664,Telebasis salva,
Mexico,Guerrero,Amula,17.555068,-99.368664,Anax longipes,
Mexico,Guerrero,Amula,17.555068,-99.368664,Anax junius,
Mexico,Guerrero,Amula,17.555068,-99.368664,Rhionaeschna jalapensis,
Mexico,Guerrero,Amula,17.555068,-99.368664,Micrathyria schumanni,
Mexico,Guerrero,Amula,17.555068,-99.368664,Orthemis ferruginea,
Mexico,Guerrero,Amula,17.555068,-99.368664,Erythrodiplax basifusca,
Mexico,Guerrero,Amula,17.555068,-99.368664,Erythrodiplax basifusca,
Mexico,Guerrero,Amula,17.555068,-99.368664,Erythrodiplax basifusca,
Mexico,Guerrero,Amula,17.555068,-99.368664,Tramea onusta,
